,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
0,rikitea,PF,-23.1203,-134.9692,79.02,70,7.02,1612920182,16
1,phangnga,TH,8.4509,98.5298,80.6,78,6.91,1612920738,20
2,muyezerskiy,RU,63.9333,31.65,-2.25,91,3.53,1612920738,90
3,kodinsk,RU,58.6881,99.1844,-4.72,89,4.92,1612920738,68
4,tuktoyaktuk,CA,69.4541,-133.0374,-38.2,67,4.61,1612920180,20
5,severo-kurilsk,RU,50.6789,156.125,27.57,90,14.85,1612920101,100
6,hobart,AU,-42.8794,147.3294,70.0,45,6.91,1612920020,20
7,ilulissat,GL,69.2167,-51.1,17.6,53,4.61,1612920189,0
8,sao filipe,CV,14.8961,-24.4956,69.93,77,7.16,1612920205,31
9,saskylakh,RU,71.9167,114.0833,-24.83,82,8.88,1612920181,0
10,bredasdorp,ZA,-34.5322,20.0403,57.2,88,3.67,1612920186,86
11,eirunepe,BR,-6.6603,-69.8736,75.69,95,2.98,1612920504,100
12,areosa,PT,41.7178,-8.8571,53.6,82,12.66,1612920739,75
13,ouesso,CG,1.6136,16.0517,72.3,76,1.66,1612920739,100
14,bonoua,CI,5.2741,-3.595,80.6,100,3.44,1612920739,20
15,taoudenni,ML,22.6783,-3.9836,63.68,25,9.22,1612920456,0
16,cape town,ZA,-33.9258,18.4232,69.01,77,14.97,1612920178,0
17,buin,CL,-33.7333,-70.75,78.01,60,12.66,1612920739,0
18,pisco,PE,-13.7,-76.2167,71.6,78,18.41,1612920074,20
19,georgetown,MY,5.4112,100.3354,82.99,83,4.61,1612920183,20
20,longyearbyen,SJ,78.2186,15.6401,17.6,93,4.61,1612920197,90
21,riviere-au-renard,CA,48.9957,-64.3971,8.6,61,9.22,1612920739,1
22,provideniya,RU,64.3833,-173.3,-0.4,65,31.32,1612920198,0
23,pevek,RU,69.7008,170.3133,-4.16,75,2.59,1612920191,0
24,port alfred,ZA,-33.5906,26.891,69.01,94,3.11,1612920188,6
25,caucaia,BR,-3.7361,-38.6531,82.4,78,8.05,1612920740,40
26,albany,US,42.6001,-73.9662,24.01,63,4.0,1612920430,0
27,yellowknife,CA,62.456,-114.3525,-7.01,77,11.5,1612920010,90
28,mataura,NZ,-46.1927,168.8643,57.76,67,8.55,1612920008,100
29,port hardy,CA,50.6996,-127.4199,35.6,69,2.3,1612920740,75
30,punta arenas,CL,-53.15,-70.9167,62.6,63,4.61,1612920007,0
31,jalu,LY,29.0331,21.5482,56.88,34,5.86,1612920203,99
32,quatre cocos,MU,-20.2078,57.7625,77.0,83,3.44,1612920454,40
33,kodiak,US,57.79,-152.4072,33.8,86,8.81,1612920187,90
34,san francisco,US,37.7749,-122.4194,55.4,71,6.91,1612920300,90
35,avarua,CK,-21.2078,-159.775,84.2,74,2.3,1612920185,40
36,sandwick,GB,60.0,-1.25,35.85,75,8.72,1612920740,0
37,kangaatsiaq,GL,68.3065,-53.4641,14.63,88,10.56,1612920740,0
38,jamestown,US,42.097,-79.2353,19.99,79,10.36,1612920046,90
39,makakilo city,US,21.3469,-158.0858,78.8,38,6.91,1612920008,1
40,kahului,US,20.8947,-156.47,75.2,50,18.41,1612920183,20
41,ushuaia,AR,-54.8,-68.3,66.2,68,2.3,1612920062,0
